code,name,country,municipality
AGAF,Afutara Aerodrome,SB,Bila
AGAR,Ulawa Airport,SB,Arona
AGAT,Uru Harbour Airport,SB,Atoifi
AGBA,Barakoma Airport,SB,Barakoma
AGBT,Batuna Aerodrome,SB,Batuna Mission Station
AGEV,Geva Airport,SB,Liangia
AGGA,Gwaunaru'u Airport,SB,Auki
AGGB,Bellona/Anua Airport,SB,Anua
AGGC,Choiseul Bay Airport,SB,Choiseul Bay
AGGE,Ballalae Airport,SB,Ballalae
AGGF,Fera/Maringe Airport,SB,Fera Island
AGGH,Honiara International Airport,SB,Honiara
AGGI,Babanakira Airport,SB,Mbambanakira
AGGJ,Avu Avu Airport,SB,Avu Avu
AGGK,Ngorangora Airport,SB,Kirakira
AGGL,Santa Cruz/Graciosa Bay/Luova Airport,SB,Santa Cruz/Graciosa Bay/Luova
AGGM,Munda Airport,SB,Munda
AGGN,Nusatupe Airport,SB,Gizo
AGGO,Mono Airport,SB,Stirling Island
AGGP,Parasi Airport,SB,Parasi
AGGR,Rennell/Tingoa Airport,SB,Rennell Island
AGGS,Sege Airport,SB,Sege
AGGT,Santa Ana Airport,SB,Santa Ana Island
AGGU,Marau Airport,SB,Marau
AGGV,Suavanao Airport,SB,Suavanao
AGGY,Yandina Airport,SB,Yandina
AGIN,Isuna Heliport,SB,Veravaulo
AGKG,Kaghau Airport,SB,Kagau Island
AGKU,Kukudu Airport,SB,Kolombangara Island
AGKW,Kwailabesi Airport,SB,Kwailabesi
AGLM,Lomlom Airport,SB,Lomlom
AGNA,Nana Airport,SB,Star Harbor
AGOB,Manaoba Airport,SB,Manaoba
AGOK,Gatokae Aerodrome,SB,Gatokae
AGRC,Ringi Cove Airport,SB,Ringi Cove
AGRM,Ramata Airport,SB,Ramata
AGTI,Tulaghi Heliport,SB,Tulaghi Island
AGVH,Viru Harbour Airstrip,SB,Viru
ANYN,Nauru International Airport,NR,Yaren
AYAA,Ama Airport,PG,
AYAB,Ambaluwa Airstrip,PG,Ambulua
AYAC,Akwom Airstrip,PG,Akwom
AYAD,Ande Airstrip,PG,Sindeni
AYAE,Mount Aue Airport,PG,Aue
AYAF,Afore Airstrip,PG,Afore
AYAG,Agaun Airport,PG,Agaun
AYAH,Ali Airstrip,PG,Ali
AYAI,Aitape Airport,PG,Aitape
AYAJ,Ambua Airstrip,PG,Ambua Lodge - Tari
AYAK,Aiambak Airport,PG,Aiambak
AYAM,Amanab Airport,PG,Amanab
AYAN,Andakombe Airport,PG,Andekombe
AYAO,Aiome Airport,PG,Aiome
AYAQ,Kompiam Airport,PG,
AYAT,Ambunti Airport,PG,Ambunti
AYAU,Arou Airstrip,PG,Arou
AYAV,Arkosame Airstrip,PG,
AYAW,Awaba Airport,PG,Awaba
AYAX,Aseki Airport,PG,Aseki
AYAY,Aiyura Airport,PG,Aiyura Valley
AYAZ,Asimba Airstrip,PG,Asimba
AYBA,Baimuru Airport,PG,Baimuru
AYBC,Bambu Airport,PG,Bambu
AYBD,Bodinumu Airport,PG,Bodinumu
AYBE,Boure Airstrip,PG,Boure
AYBF,Bamu Airport,PG,Bamu
AYBG,Baindoung Airport,PG,
AYBH,Bensbach Airport,PG,Bensbach
AYBI,Bewani Airport,PG,Bewani
AYBJ,Bank Airstrip,PG,Bank
AYBK,Buka Airport,PG,Buka Island
AYBL,Bialla Airport,PG,"Bialla, Matalilu, Ewase"
AYBM,Balimo Airport,PG,Balimo
AYBN,Baina Airstrip,PG,Baina
AYBO,Bomai Airport,PG,Bomai
AYBP,Bapi Airstrip,PG,Bapi
AYBQ,Biangabip Airport,PG,Biangabip
AYBR,Biaru Airport,PG,Biaru
AYBS,Begesin Airstrip,PG,Begesin
AYBT,Batri Airstrip,PG,Batri
AYBU,Bulolo Airport,PG,Bulolo
AYBY,Wuyabo Airstrip,PG,Wuyabo
AYBZ,Biniguni Airport,PG,Biniguni
AYCB,Chungribu Airport,PG,Chungribu
AYCG,Cape Gloucester Airport,PG,Cape Gloucester
AYCH,Chimbu Airport,PG,Kundiawa
AYCN,Changriwa Airstrip,PG,Changriwa
AYCS,China Strait Airstrip,PG,Samarai Island
AYDA,Dahamo Airstrip,PG,Dahamo Village
AYDB,Debepare Airport,PG,Debepare
AYDD,Dobu Airstrip,PG,Dobu
AYDE,Derim Airport,PG,Derim
AYDI,Bundi Airport,PG,Bundi
AYDK,Munduku Airport,PG,Munduku
AYDL,Kondobol Airport,PG,Kondobol
AYDM,Duranmin Airstrip,PG,Duranmin
AYDN,Dinangat Airport,PG,Dinangat
AYDO,Doini Airport,PG,Castori Islets
AYDP,Tsendiap Airstrip,PG,Tsendiap
AYDQ,Dimisisi Airstrip,PG,Dimisisi
AYDR,Dorobisoro Airport,PG,Dorobisoro
AYDS,Dusin Airport,PG,Dusin
AYDU,Daru Airport,PG,Daru
AYDW,Dewara Airstrip,PG,Dewara
AYDY,Sindeni Airstrip,PG,Sindeni
AYEA,Kerau Airport,PG,Gunim
AYEB,Embessa Airport,PG,Embessa
AYED,Edwaki Airport,PG,Yellow River Mission
AYEE,Emirau Airport,PG,Emirau Island
AYEF,Efogi Airport,PG,Efogi
AYEG,Mengina Airstrip,PG,Mengina
AYEH,Morehead Airport,PG,Morehead
AYEI,Milei Airstrip,PG,Milei
AYEK,Membok Airstrip,PG,Membok
AYEL,Eliptamin Airport,PG,Eliptamin
AYEM,Eleme Airstrip,PG,Eleme
AYEN,Engati Airstrip,PG,Engati
AYEO,Emo River Airstrip,PG,Emo Mission
AYER,Erume Airport,PG,Erume
AYES,Meselia Airport,PG,Demgulu
AYET,Bosset Airport,PG,Bosset
AYEU,Eloaua Airstrip,PG,Eloaua Island
AYEV,Erave Airport,PG,Erave
AYEW,Siwea Airport,PG,Siwea
AYFA,Fane Airport,PG,Fane Mission
AYFF,Faia Airport,PG,
AYFI,Finschhafen Airport,PG,Buki
AYFR,Frieda River Airport,PG,Frieda River
AYFU,Fuma Airport,PG,Fuma
AYGA,Goroka Airport,PG,Goronka
AYGC,Gewoia Airport,PG,Gewoia
AYGF,Guari Airport,PG,Guari
AYGG,Garasa Airport,PG,Au
AYGI,Garaina Airport,PG,Garaina
AYGJ,Guasopa Airport,PG,Woodlark (Muyua) Island
AYGL,Gonaili Airport,PG,Gonaili
AYGN,Gurney Airport,PG,Gurney
AYGP,Gusap Airport,PG,Gusap
AYGR,Girua Airport,PG,Popondetta
AYGS,Gasuke Airport,PG,Gasuke
AYGT,Gasmata Island Airport,PG,Gasmata Island
AYGU,Anguganak Airport,PG,Anguganak
AYGV,Green River Airport,PG,Green River
AYGX,Gora Airstrip,PG,Gora
AYHB,Habi Airport,PG,Habi
AYHE,Heiweni Airport,PG,Heiweni
AYHF,Hayfields Airport,PG,Bainyik
AYHH,Honinabi Airport,PG,Honinabi
AYHK,Hoskins Airport,PG,Kimbe
AYHO,Haivaro Airport,PG,Haivaro
AYHU,Hawabango Airport,PG,Hawabango
AYIA,Nissan Island Airport,PG,Nissan Island
AYID,Indagen Airport,PG,Indagen
AYII,Imane Airport,PG,Imane
AYIM,Kungim Airport,PG,Kungim
AYIO,Imonda Airport,PG,Imonda
AYIQ,Aropa Airport,PG,Kieta
AYIW,Wasua Airport,PG,Wasua
AYIX,Witu Airport,PG,Garove Island
AYIY,Miyanmin Airport,PG,Miyanmin
AYJO,Yongai Airport,PG,Yongai
AYJS,Josephstaal Airport,PG,Josephstaal
AYKA,Losuia Airport,PG,Losuia
AYKB,Kabwum,PG,
AYKC,Kandrian Airport,PG,Kandrian
AYKD,Kamina Airport,PG,Hoieti
AYKG,Kopiago Airport,PG,Kopiago
AYKH,Kamulai Airport,PG,Kamulai Mission
AYKI,Kiunga Airport,PG,Kiunga
AYKJ,Kanainj Airport,PG,Kanainj
AYKK,Kikori Airport,PG,Kikori
AYKM,Kerema Airport,PG,Kerema
AYKO,Kokoda Airport,PG,Kokoda
AYKQ,Kagi Airport,PG,Kagi
AYKR,Kar Kar Airport,PG,Kar Kar Island
AYKT,Kaintiba Airport,PG,Kaintiba
AYKU,Kuri Airport,PG,Kuri
AYKV,Kavieng Airport,PG,Kavieng
AYKW,Kawito Airport,PG,Kawito
AYKY,Londolovit Airport,PG,Londolovit
AYKZ,Kairiru Airstrip,PG,Kairiru Island
AYLB,Lab Lab Airport,PG,Lab Lab Mission
AYLG,Keglsugl Airport,PG,Denglagu Mission
AYLI,Kibuli Airstrip,PG,Kibuli
AYLL,Linga Linga Airport,PG,Linga Linga
AYLN,Langimar Airport,PG,
AYLO,Lowai Airport,PG,Lowai
AYLP,Leron Plains Airport,PG,Leron Plains
AYLS,Lese Airport,PG,Lese
AYLT,Lengbati Airport,PG,
AYLU,Lumi Airport,PG,Lumi
AYLX,Long Island Airport,PG,Long Island
AYMA,Manari Airport,PG,Manari
AYMB,Morobe Airport,PG,Morobe
AYMC,Menyamya Airport,PG,Menyamya
AYMD,Madang Airport,PG,Madang
AYMH,Mount Hagen Kagamuga Airport,PG,Mount Hagen
AYMI,Mindik Airport,PG,Mindik
AYMJ,Makini Airport,PG,Makini
AYML,Mougulu Airport,PG,Mougulu
AYMN,Mendi Airport,PG,Mendi
AYMO,Momote Airport,PG,Manus Island
AYMP,Malalaua Airport,PG,Malalaua
AYMQ,Malam Airport,PG,Malam
AYMR,Moro Airport,PG,Moro
AYMS,Misima Island Airport,PG,Misima Island
AYMV,Malekolon Airport,PG,Babase Island
AYMW,Marawaka Airport,PG,Marawaka
AYMZ,Mapua(Mabua) Airport,PG,Tatau Island
AYNA,Nankina Airport,PG,Gwarawon
AYNB,Kanabea Airport,PG,Kanabea
AYNC,Nadunumu Airport,PG,Nadunumu
AYND,Aua Island Airport,PG,Aua Island
AYNE,Negarbo(Negabo) Airport,PG,Negarbo
AYNI,Nuguria Airstrip,PG,Nuguria Island
AYNJ,Namudi Airport,PG,Namudi
AYNM,Kasonombe Airport,PG,Kasonombe
AYNN,Kandep Airport,PG,Kandep
AYNO,Nomane Airport,PG,Namane
AYNS,Bunsil Airport,PG,Bunsil - Umboi Island
AYNU,Nuku Airport,PG,Nuku
AYNX,Namatanai Airport,PG,Namatanai
AYNY,Nambaiyufa Airport,PG,Nambaiyufa
AYNZ,Nadzab Tomodachi International Airport,PG,Lae
AYOB,Obo Airport,PG,Obo
AYOE,Konge Airport,PG,Konge
AYOF,Okao Airport,PG,Okao
AYOG,Ogeranang Airport,PG,
AYOJ,Oksapmin Airport,PG,Oksapmin
AYOK,Komako Airport,PG,Komako
AYOL,Kol Airport,PG,Kol
AYOM,Omora Airport,PG,Omora
AYOO,Komo-Manda Airport,PG,Komo
AYOP,Kosipe Airport,PG,Kosipe Mission
AYOQ,Komaio Airport,PG,Komaio
AYOV,Olsobip Airport,PG,Olsobip
AYOW,Koroba Airport,PG,Koroba
AYPB,Paiela Airport,PG,Paiela
AYPC,Pangoa Airport,PG,Pangoa
AYPD,Pindiu Airport,PG,Pindiu
AYPE,April River Airport,PG,April River
AYPG,Pangia Airport,PG,Pangia
AYPJ,Pimaga Airport,PG,Pimaga
AYPO,Mapoda Airport,PG,Mapoda
AYPQ,Pumani Airport,PG,Pumani
AYPY,Port Moresby Jacksons International Airport,PG,Port Moresby
AYQA,Karawari Airstrip,PG,Amboin
AYQL,Tumolbil Airport,PG,Tumolbil
AYQO,Sopu Airport,PG,Sopu
AYQQ,Ononge Airport,PG,Onange Mission
AYQS,Sialum Airport,PG,Sialum
AYRA,Kira Airport,PG,Kira
AYRE,Raba Raba Airport,PG,Rabaraba
AYRG,Rumginae Airport,PG,
AYRI,Karimui Airport,PG,Karimui
AYRK,Kairuku Airport,PG,Yule Island
AYRM,Maramuni Airport,PG,Maramuni
AYRO,Kakoro(Koroko) Airstrip,PG,Kakoro
AYSA,Suabi Airport,PG,
AYSD,Saidor Airport,PG,Saidor
AYSE,Simberi Airport,PG,Simberi Island
AYSF,Safia Airport,PG,Safia
AYSG,Sila Airport,PG,Sila Mission
AYSH,Sabah Airport,PG,Sabah
AYSJ,Simbai Airport,PG,Simbai
AYSK,Sengapi Airstrip,PG,Sengapi
AYSL,Sehulea Airport,PG,Sehulea
AYSO,Selbang Airport,PG,Selbang
AYSP,Sapmanga Airport,PG,Sapmanga
AYSS,Sasereme Airport,PG,Sasereme
AYSU,Suki Airport,PG,Suki
AYSV,Sauren Airport,PG,Sauren
AYSW,Satwag Airport,PG,Satwag
AYSX,Masa Airport,PG,Masa
AYTA,Tari Airport,PG,Tari
AYTB,Tabubil Airport,PG,Tabubil
AYTE,Telefomin Airport,PG,Telefomin
AYTF,Tetebedi Airport,PG,Tetebedi
AYTG,Tagula Airport,PG,Sudest Island
AYTH,Tifalmin Airport,PG,Tifalmin
AYTI,Tapini Airport,PG,Tapini
AYTK,Tokua Airport,PG,Kokopo
AYTN,Tekin Airport,PG,Tekin
AYTO,Kamberatoro Airport,PG,Kamberatoro Mission
AYTP,Tep Tep Airport,PG,Teptep
AYTR,Tarabo Airport,PG,Tarabo
AYTS,Tsewi Airport,PG,Tsewi
AYTT,Tarakbits Airport,PG,Tarakbits
AYTU,Tufi Airport,PG,Tufi
AYTV,Timbunke Airport,PG,Timbunke
AYTW,Tawa Airport,PG,Tawa
AYTY,Terapo Airport,PG,Terapo Mission
AYTZ,Tekadu Airport,PG,Tekadu
AYUC,Umba Airport,PG,Umba
AYUE,Uroubi Airport,PG,Uroubi
AYUI,Buin Airport,PG,Buin
AYUM,Aumo Airport,PG,Aumo
AYUP,Gulgubip Airport,PG,Gulgubip
AYUR,Upiara Airport,PG,Upiara
AYUY,Kuyol Airport,PG,
AYUZ,Uvol Airport,PG,Uvol
AYVL,Talasea Airport,PG,Talasea
AYVM,Torembi Airport,PG,Torembi
AYVN,Vanimo Airport,PG,Vanimo
AYVO,Tonu Airport,PG,Tonu
AYVW,Wuvulu Island Airport,PG,Wuvulu Island
AYWB,Wabo Airport,PG,Wabo
AYWC,Wantoat Airport,PG,Wantoat
AYWD,Wapenamanda Airport,PG,Wapenamanda
AYWF,Wawoi Falls Airport,PG,Wavoi Falls
AYWG,Wanigela Airport,PG,Wanigela
AYWH,Wanuma Airport,PG,Wanuma
AYWJ,Wapolu Airport,PG,Wapolu
AYWK,Wewak International Airport,PG,Wewak
AYWO,Wonenara Airport,PG,Wonenara
AYWQ,Wakunai Airport,PG,Wakunai
AYWS,Wasu Airport,PG,Wasu
AYWT,Woitape Airport,PG,Fatima Mission
AYWU,Wau Airport,PG,Wau
AYWV,Warasai Airstrip,PG,Warasai
AYXE,Yeva Airport,PG,Yeva
AYXI,Sim Airport,PG,Sim
AYXO,Tol Airport,PG,Tol
AYXP,Wipim Airport,PG,Wipim
AYXW,Weam Airport,PG,Weam
AYYE,Yalumet Airport,PG,Yalumet
AYYK,Yenkis(Yankisa) Airport,PG,
AYYL,Tinboli Airport,PG,Tinboli
AYYM,Munbil Airport,PG,
AYYO,Oram Airport,PG,
AYYP,Yapsiei Airport,PG,
AYYR,Yasuru Airport,PG,Yasuru
AYZA,Zenag Airport,PG,Zenag
AYZI,Silur Airport,PG,Silur Mission
AYZN,Sissano Airport,PG,Sissano
AYZS,Ossima Airport,PG,Ossima
BGAA,Aasiaat Airport,GL,Aasiaat
BGBW,Narsarsuaq Airport,GL,Narsarsuaq
BGCH,Qasigiannguit Heliport,GL,Qasigiannguit
BGCO,Neerlerit Inaat Airport,GL,Neerlerit Inaat
BGGH,Nuuk International Airport,GL,Nuuk
BGIG,Iginniarfik Heliport,GL,Iginniarfik
BGJN,Ilulissat Airport,GL,Ilulissat
BGKK,Kulusuk Airport,GL,Kulusuk
BGMQ,Maniitsoq Airport,GL,Maniitsoq
BGPT,Paamiut Airport,GL,Paamiut
BGQO,Qaqortoq Airport,GL,Qaqortoq
BGQQ,Qaanaaq Airport,GL,Qaanaaq
BGSF,Kangerlussuaq International Airport,GL,Kangerlussuaq
BGSG,Sermiligaaq Heliport,GL,Sermiligaaq
BGSI,Siorapaluk Heliport,GL,Siorapaluk
BGSO,Saarloq Heliport,GL,Saarloq
BGSQ,Saqqaq Heliport,GL,Saqqaq
BGSS,Sisimiut Airport,GL,Sisimiut
BGST,Saattut Heliport,GL,Saattut
BGSV,Savissivik Heliport,GL,Savissivik
BGTA,Tasiusaq Heliport,GL,Tasiusaq
BGTL,Pituffik Space Base,GL,Pituffik
BGTN,Tiniteqilaaq Heliport,GL,Tiniteqilaaq
BGTQ,Tasiusaq Heliport,GL,Tasiusak
BGUK,Upernavik Airport,GL,Upernavik
BGUM,Uummannaq Heliport,GL,Uummannaq
BGUQ,Qaarsut Airport,GL,Uummannaq
BGUT,Ukkusissat Heliport,GL,Ukkusissat
BIAR,Akureyri International Airport,IS,Akureyri
BIBA,Bakki Airport,IS,Bakki
BIBD,Bildudalur Airport,IS,Bildudalur
BIBF,Borgarfjörður eystri Airport,IS,Borgarfjörður eystri
BIBL,Blönduós Airport,IS,Blönduós
BIBR,Búðardalur Airport,IS,Búðardalur
BIBV,Breiðdalsvík Airport,IS,Breiðdalsvík
BIDV,Djúpivogur Airport,IS,Djúpivogur
BIEG,Egilsstaðir Airport,IS,Egilsstaðir
BIFL,Flúðir Airport,IS,Flúðir
BIFM,Fagurhólsmýri Airport,IS,Fagurhólsmýri
BIGF,Grundarfjörður Airport,IS,Grundarfjörður
BIGJ,Gjögur Airport,IS,Gjögur
BIGR,Grímsey Airport,IS,Grímsey/Sandvík
BIGS,Grímsstaðir Airport,IS,Grímsstaðir
BIHE,Herðubreiðarlindir Airport,IS,Herðubreiðarlindir
BIHI,Hveravellir Airport,IS,Hveravellir
BIHK,Hólmavík Airport,IS,Hólmavík
BIHL,Hella Airport,IS,Hella
BIHN,Hornafjörður Airport,IS,Höfn
BIHU,Húsavík Airport,IS,Húsavík
BIHZ,Húsafell Airport,IS,Húsafell
BIIS,Ísafjörður Airport,IS,Ísafjörður
BIKA,Kaldármelar Airport,IS,Kaldármelar
BIKE,Kerlingafjöll Airport,IS,Kerlingafjöll
BIKF,Keflavik International Airport,IS,Reykjavík
BIKL,Kirkjubæjarklaustur Airport,IS,Kirkjubæjarklaustur
BIKP,Kópasker Airport,IS,Kópasker
BIKR,Sauðárkrókur Airport,IS,Sauðárkrókur
BIMK,Múlakot Airport,IS,Múlakot
BIMM,Melgerðismelar Airport,IS,Melgerðismelar
BIMS,Tungubakkar Airport,IS,Tungubakkar
BIND,Nýjidalur Airport,IS,Nýjidalur
BINF,Norðfjörður Airport,IS,Norðfjörður
BIRE,Reykhólar Airport,IS,Reykhólar
BIRF,Rif Airport,IS,Rif
BIRG,Raufarhöfn Airport,IS,Raufarhöfn
BIRK,Reykjavík Domestic Airport,IS,Reykjavík
BIRL,Mývatn Airport,IS,Myvatn
BIRS,Reykjanes Airport,IS,Reykjanes
BISA,Sauðárflugvöllur,IS,Sauðár
BISF,Selfoss Airport,IS,Selfoss
BISI,Siglufjörður Airport,IS,Siglufjörður
BISK,Skógasandur Airport,IS,Skógar
BISL,Skaftafell Airport,IS,Öræfi
BISR,Stórikroppur Airport,IS,Stórikroppur
BISS,Sandskeið Airport,IS,Sandskeið
BIST,Stykkishólmur Airport,IS,Stykkishólmur
BISV,Skálavatn Airport,IS,Skálavatn
BITE,Þingeyri Airport,IS,Þingeyri
BITM,Þórsmörk Airport,IS,Þórsmörk
BITN,Þórshöfn Airport,IS,Þórshöfn
BIVI,Vík Airport,IS,Vík
BIVM,Vestmannaeyjar Airport,IS,Vestmannaeyjar
BIVO,Vopnafjörður Airport,IS,Vopnafjörður
BKPR,Priština Adem Jashari International Airport,XK,Prishtina
CBBC,Bella Bella (Campbell Island) Airport,CA,Bella Bella
CHQE,Queen Elizabeth II Health Science Centre Helipad,CA,Halifax
CMBH,Mount Belcher Heliport,CA,Mount Belcher
CRHA,Streatham Reef Hueston Airfield,CA,Streatham
CRML,Stoney Point (Le Cunff) Airport,CA,Stoney Point
CWCV,Nootka Lightstation Helipad,CA,San Rafael Island
CWFM,Chatham Point Light Station Helipad,CA,Chatham Point
CWIF,Quatsino Light Station Helipad,CA,Kains Island
CWJC,Ennadai Lake Airport,CA,Ennadai
CWOB,Brevoort Island Airstrip,CA,Brevoort Island
CWZM,Boat Bluff Lighthouse Helipad,CA,Sarah Island
CYAB,Arctic Bay Airport,CA,Arctic Bay
CYAC,Cat Lake Airport,CA,Cat Lake
CYAD,La Grande-3 Airport,CA,La Grande-3
CYAG,Fort Frances Municipal Airport,CA,Fort Frances
CYAH,La Grande-4 Airport,CA,La Grande-4
CYAL,Alert Bay Airport,CA,Alert Bay
CYAM,Sault Ste Marie Airport,CA,Sault Ste Marie
CYAQ,Kasabonika Airport,CA,Kasabonika
CYAS,Kangirsuk Airport,CA,Kangirsuk
CYAT,Attawapiskat Airport,CA,Attawapiskat
CYAU,Liverpool South Shore Regional Airport,CA,Greenfield
CYAV,Winnipeg / St. Andrews Airport,CA,Winnipeg/Saint Andrews
CYAW,CFB Shearwater Heliport,CA,Halifax
CYAX,Lac du Bonnet Airport,CA,Lac du Bonnet
CYAY,St. Anthony Airport,CA,St. Anthony
CYAZ,Tofino / Long Beach Airport,CA,Tofino
CYBA,Banff Airport,CA,Banff
CYBB,Kugaaruk Airport,CA,Kugaaruk
CYBC,Baie-Comeau Airport,CA,Baie-Comeau
CYBD,Bella Coola Airport,CA,Bella Coola
CYBE,Uranium City Airport,CA,Uranium City
CYBF,Bonnyville Airport,CA,Bonnyville
CYBG,Saguenay-Bagotville Airport,CA,Saguenay
CYBK,Baker Lake Airport,CA,Baker Lake
CYBL,Campbell River Airport,CA,Campbell River
CYBN,CFB Borden Heliport,CA,Borden
CYBP,Brooks Regional Airport,CA,Brooks
CYBQ,Tadoule Lake Airport,CA,Tadoule Lake
CYBR,Brandon Municipal Airport,CA,Brandon
CYBT,Brochet Airport,CA,Brochet
CYBU,Nipawin Airport,CA,Nipawin
CYBV,Berens River Airport,CA,Berens River
CYBW,Calgary / Springbank Airport,CA,Calgary
CYBX,Lourdes-de-Blanc-Sablon Airport,CA,Blanc-Sablon
CYCA,Cartwright Airport,CA,Cartwright
CYCB,Cambridge Bay Airport,CA,Cambridge Bay
CYCC,Cornwall Regional Airport,CA,Cornwall
CYCD,Nanaimo Airport,CA,Nanaimo
CYCE,Centralia / James T. Field Memorial Aerodrome,CA,Huron Park
CYCG,Castlegar/West Kootenay Regional Airport,CA,Castlegar
CYCH,Miramichi Airport,CA,Miramichi
CYCK,Chatham Kent Airport,CA,Chatham-Kent
CYCL,Charlo Airport,CA,Charlo
CYCN,Cochrane Airport,CA,Cochrane
CYCO,Kugluktuk Airport,CA,Kugluktuk
CYCP,Blue River Airport,CA,Blue River
CYCQ,Chetwynd Airport,CA,Chetwynd
CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,CA,Cross Lake
CYCS,Chesterfield Inlet Airport,CA,Chesterfield Inlet
CYCT,Coronation Airport,CA,Coronation
CYCW,Chilliwack Airport,CA,Chilliwack
CYCX,CFB Gagetown Heliport,CA,Oromocto
CYCY,Clyde River Airport,CA,Clyde River
CYCZ,Fairmont Hot Springs Airport,CA,Fairmont Hot Springs
CYDA,Dawson City Airport,CA,Dawson City
CYDB,Burwash Airport,CA,Burwash Landing
CYDC,Princeton Airport,CA,Town of Princeton
CYDF,Deer Lake Airport,CA,Deer Lake
CYDH,Ottawa / Dwyer Hill Heliport,CA,Ottawa
CYDL,Dease Lake Airport,CA,Dease Lake
CYDM,Ross River Airport,CA,Ross River
CYDN,Dauphin Barker Airport,CA,Dauphin
CYDO,Dolbeau-Saint-Felicien Airport,CA,Dolbeau-Saint-Felicien
CYDP,Nain Airport,CA,Nain
CYDQ,Dawson Creek Airport,CA,Dawson Creek
CYEA,Empress Airport,CA,Empress
CYED,Edmonton (CFB Namao) Heliport,CA,Edmonton
CYEE,Huronia Airport,CA,Midland
CYEG,Edmonton International Airport,CA,Edmonton
CYEK,Arviat Airport,CA,Arviat
CYEL,Elliot Lake Municipal Airport,CA,Elliot Lake
CYEM,Manitoulin East Municipal Airport,CA,Sheguiandah
CYEN,Estevan Airport,CA,Estevan
CYER,Fort Severn Airport,CA,Fort Severn
CYES,Edmundston Airport,CA,Edmundston
CYET,Edson Airport,CA,Edson
CYEU,Eureka Airport,CA,Eureka
CYEV,Inuvik Mike Zubko Airport,CA,Inuvik
CYEY,Amos/Magny Airport,CA,Amos
CYFA,Fort Albany Airport,CA,Fort Albany
CYFB,Iqaluit Airport,CA,Iqaluit
CYFC,Fredericton International Airport,CA,Fredericton
CYFD,Brantford Municipal Airport,CA,Brantford
CYFE,Forestville Airport,CA,Forestville
CYFH,Fort Hope Airport,CA,Fort Hope
CYFI,Fort Mackay / Firebag,CA,Suncor Energy Site
CYFJ,Mont-Tremblant International Airport,CA,La Macaza
CYFO,Flin Flon Airport,CA,Flin Flon
CYFR,Fort Resolution Airport,CA,Fort Resolution
CYFS,Fort Simpson Airport,CA,Fort Simpson
CYFT,Makkovik Airport,CA,Makkovik
CYGB,Texada Gillies Bay Airport,CA,Texada
CYGD,Goderich Airport,CA,Goderich
CYGE,Golden Airport,CA,Golden
CYGH,Fort Good Hope Airport,CA,Fort Good Hope
CYGK,Kingston Norman Rogers Airport,CA,Kingston
CYGL,La Grande Rivière Airport,CA,La Grande Rivière
CYGM,Gimli Industrial Park Airport,CA,Gimli
CYGN,Greenway Sound Seaplane Base,CA,Broughton Island
CYGO,Gods Lake Narrows Airport,CA,Gods Lake Narrows
CYGP,Michel-Pouliot Gaspé Airport,CA,Gaspé
CYGQ,Geraldton Greenstone Regional Airport,CA,Geraldton
CYGR,Îles-de-la-Madeleine Airport,CA,Les Îles-de-la-Madeleine
CYGT,Igloolik Airport,CA,Igloolik
CYGV,Havre-Saint-Pierre Airport,CA,Havre-Saint-Pierre
CYGW,Kuujjuarapik Airport,CA,Kuujjuarapik
CYGX,Gillam Airport,CA,Gillam
CYGZ,Grise Fiord Airport,CA,Grise Fiord
CYHA,Quaqtaq Airport,CA,Quaqtaq
CYHB,Hudson Bay Airport,CA,Hudson Bay
CYHC,Vancouver Harbour Water Aerodrome,CA,Vancouver
CYHD,Dryden Regional Airport,CA,Dryden
CYHE,Hope Airport / FVRD Regional Airpark,CA,Hope
CYHF,Hearst René Fontaine Municipal Airport,CA,Hearst
CYHH,Nemiscau Airport,CA,Nemiscau
CYHI,Ulukhaktok Holman Airport,CA,Ulukhaktok
CYHK,Gjoa Haven Airport,CA,Gjoa Haven
CYHM,John C. Munro Hamilton International Airport,CA,Hamilton
CYHN,Hornepayne Municipal Airport,CA,Hornepayne
CYHO,Hopedale Airport,CA,Hopedale
CYHP,Poplar Hill Airport,CA,Poplar Hill
CYHR,Chevery Airport,CA,Chevery
CYHS,Hanover / Saugeen Municipal Airport,CA,Hanover
CYHT,Haines Junction Airport,CA,Haines Junction
CYHU,Montréal / Saint-Hubert Metropolitan Airport,CA,Montréal
CYHY,Hay River / Merlyn Carter Airport,CA,Hay River
CYHZ,Halifax / Stanfield International Airport,CA,Halifax
CYIB,Atikokan Municipal Airport,CA,Atikokan
CYID,Digby / Annapolis Regional Airport,CA,Digby
CYIF,St Augustin Airport,CA,St-Augustin
CYIK,Ivujivik Airport,CA,Ivujivik
CYIN,Clinton/Bleibler Ranch Aerodrome,CA,Clinton
CYIO,Pond Inlet Airport,CA,Pond Inlet
CYIV,Island Lake Airport,CA,Island Lake
CYJA,Jasper Airport,CA,Jasper
CYJF,Fort Liard Airport,CA,Fort Liard
CYJM,Fort St James Airport,CA,Fort St. James
CYJN,St Jean Airport,CA,St Jean
CYJP,Fort Providence Airport,CA,Fort Providence
CYJQ,Denny Island Airport,CA,Denny Island
CYJT,Stephenville Dymond International Airport,CA,Stephenville
CYKA,Kamloops John Moose Fulton Field Regional Airport,CA,Kamloops
