code,name,country,municipality
SGES,Guaraní International Airport,PY,Ciudad del Este
SGFI,Aeródromo de Filadelfia,PY,Filadelfia
SGIB,Itaipú Airport,PY,Itaipú
SGME,Dr. Luis María Argaña International Airport,PY,Mariscal Estigarribia
SGOL,Aeródromo de Fuerte,PY,Fuerte Olimpo
SGPI,Aeródromo Don Carlos Miguel Gimenez,PY,Pilar
SGPJ,Aeropuerto Nacional Dr. Augusto Roberto Fuster,PY,Pedro Juan Caballero
SHAB,Aguas Blancas Heliport,CL,Puchuncavi
SHAC,ACHS Worker's Hospital Helipad,CL,Santiago
SHAG,Anguila 1 Heliport,CL,Magallanes
SHAL,Los Paltos Heliport,CL,Isla de Maipo
SHAP,Dr. Alejandro del Río Public Assistance Hospital Helipad,CL,Santiago
SHAT,Atmosphere Helideck,CL,Puerto Montt
SHAU,Santa Rosa Heliport,CL,Coltauco
SHAV,Alta Vista Heliport,CL,Zapallar
SHBI,Quillota-Petorca Biprovincial Hospital Helistop,CL,Quillota
SHCM,Corporativo Mutual Heliport,CL,Santiago
SHGF,Gustavo Fricke Hospital Helistop,CL,Viña del Mar
SHHN,Admiral Nef Naval Hospital Heliport,CL,Viña del Mar
SHIC,Curicó Provincial Hospital Helistop,CL,Curicó
SHJN,"Dr. Juan Noé Crevani, Arica Regional Hospital Helipad",CL,Arica
SHJO,San José Hospital Helipad,CL,Santiago
SHLJ,Los Junquillos Heliport,CL,Vichuquen
SHMM,Marga Marga Hospital Helistop,CL,Villa Alemana
SHNB,Ñuble Regional Hospital Helistop,CL,Chillán
SHOH,Military School Heliport,CL,Las Condes
SHOL,Santa Laura Heliport,CL,Olmué
SHOR,Isidora el Bosque Building Helistop,CL,Las Condes
SHPH,Santa Teresa Heliport,CL,Padre Hurtado
SHRZ,Reitz Building Two Helistop,CL,Viña del Mar
SHSG,San Gregorio Heliport,CL,San Gregorio
SHSH,Santiago Heliport,CL,Santiago
SHTC,Edificio Corporativo CTC Heliport,CL,Santiago
SHTL,Torre Ligure Helipad,CL,Concepcion
SHTO,Alto Hospicio Hospital Helistop.,CL,Alto Hospicio
SHVE,Valle Escondido Heliport,CL,Lo Barnechea
SHVI,Villarica Park Lake Heliport,CL,Villarrica
SHVN,Vía Naranja Heliport,CL,Santiago
SHWT,World Trade Center Heliport,CL,Santiago
SHXE,ETXEA Helistop,CL,Lo Barnechea
SHYA,Sumaya Heliport,CL,Pirque
SILC,Municipal Bom Futuro Airport,BR,Lucas do Rio Verde
SIMK,Tenente Lund Pressoto Airport,BR,Franca
SIZX,Inácio Luís do Nascimento Airport,BR,Juara
SJNP,Novo Progresso Airport,BR,Novo Progresso
SJOY,Jorge Luiz Stocco Airport,BR,Palmeira
SKAC,Araracuara Airport,CO,Araracuara
SKAD,Alcides Fernández Airport,CO,Acandí
SKAG,Hacaritama Airport,CO,Aguachica
SKAM,Amalfi Airport,CO,Amalfi
SKAP,Gomez Nino Apiay Air Base,CO,Apiay
SKAR,El Eden Airport,CO,Armenia
SKAS,Tres De Mayo Airport,CO,Puerto Asís
SKAT,El Troncal Airport,CO,Arauquita
SKBC,Las Flores Airport,CO,El Banco
SKBG,Palonegro Airport,CO,Bucaramanga
SKBM,Barranco Minas Airport,CO,Barranco Minas
SKBO,El Dorado International Airport,CO,Bogota
SKBQ,Ernesto Cortissoz International Airport,CO,Barranquilla
SKBS,José Celestino Mutis Airport,CO,Bahía Solano
SKBU,Gerardo Tobar López Airport,CO,Buenaventura
SKCA,Capurganá Airport,CO,Acandí
SKCC,Camilo Daza International Airport,CO,Cúcuta
SKCD,Mandinga Airport,CO,Condoto
SKCG,Rafael Nuñez International Airport,CO,Cartagena
SKCI,Carimagua Airport,CO,Puerto López
SKCL,Alfonso Bonilla Aragon International Airport,CO,Cali
SKCM,Cimitarra Airport,CO,Cimitarra
SKCN,Cravo Norte Airport,CO,Cravo Norte
SKCO,La Florida Airport,CO,Tumaco
SKCP,Cupica Airport,CO,Bahía Solano
SKCR,Carurú Airport,CO,Carurú
SKCU,Juan H White Airport,CO,Caucasia
SKCV,Coveñas Airport,CO,Coveñas
SKCZ,Las Brujas Airport,CO,Corozal
SKEB,El Bagre Airport,CO,El Bagre
SKEH,El Charco Airport,CO,El Charco
SKEJ,Yariguíes Airport,CO,Barrancabermeja
SKFL,Gustavo Artunduaga Paredes Airport,CO,Florencia
SKGA,La Gaviota Airport,CO,
SKGI,Santiago Vila Airport,CO,Girardot
SKGO,Santa Ana Airport,CO,Cartago
SKGP,Guapi Airport,CO,Guapi
SKHA,General Navas Pardo Airport,CO,Chaparral
SKHC,Hato Corozal Airport,CO,Hato Corozal
SKIB,Perales Airport,CO,Ibagué
SKIG,Jaime Ortiz Betancourt Airport,CO,Chigorodó
SKIM,La Primavera Airport,CO,La Primavera
SKIP,San Luis Airport,CO,Ipiales
SKJU,Juradó Airport,CO,Juradó
SKLC,Antonio Roldán Betancur Airport,CO,Carepa
SKLG,Caucaya Airport,CO,Puerto Leguízamo
SKLM,Jorge Isaac Airport,CO,La Mina-Maicao
SKLP,La Pedrera Airport,CO,La Pedrera
SKLT,Alfredo Vásquez Cobo International Airport,CO,Leticia
SKMB,Timbiqui Airport,CO,Timbiqui
